Codigo,Titulo,Autor,Categoria,CopiasDisponibles,VecesPrestado
105,Cien Años de Soledad,Gabriel Garcia Marquez,Novela,4,58
101,Don Quijote de la Mancha,Miguel de Cervantes,Clasico,2,72
112,Estructuras de Datos en C#,Luis Joyanes,Tecnico,8,15
103,El Principito,Antoine de Saint-Exupéry,Fantasía,1,95
108,Breves Respuestas a las Grandes Preguntas,Stephen Hawking,Ciencia,0,34
102,Fahrenheit 451,Ray Bradbury,Ciencia Ficción,5,40
110,El Código Da Vinci,Dan Brown,Misterio,3,81
115,Clean Code,Robert C. Martin,Tecnico,6,22
104,1984,George Orwell,Distopía,2,63
107,Crónica de una Muerte Anunciada,Gabriel Garcia Marquez,Novela,1,29
109,Fundamentos de Programación,Luis Joyanes,Tecnico,10,8
106,Orgullo y Prejuicio,Jane Austen,Romance,0,45
114,El Hobbit,J.R.R. Tolkien,Fantasía,3,88
111,Sapiens: De animales a dioses,Yuval Noah Harari,Historia,4,50
113,Calculo de una Variable,James Stewart,Tecnico,7,11
